Index;Version ID;Version Name;Date
1;12342098;s0-pre;2012-04-04T00:00
2;12342099;s1;2012-04-20T00:00
3;12342100;s2;2012-06-29T00:00
4;12342101;s3;2012-07-27T00:00
5;12342102;s4;2012-09-14T00:00
6;12342103;s5;2012-10-24T00:00
7;12342104;s6;2012-12-17T00:00
8;12342105;s7;2013-02-15T00:00
9;12342106;s8;2013-03-15T00:00
10;12342107;s9;2013-04-01T00:00
11;12342108;s10;2013-06-04T00:00
12;12342113;s11;2013-08-20T00:00
13;12342114;s12;2013-10-08T00:00
14;12342115;s13;2014-05-30T00:00
15;12342116;s14;2014-08-01T00:00
16;12342117;s15;2014-12-05T00:00
17;12342118;1.0.0;2015-03-05T00:00
18;12342119;1.1.0;2015-06-04T00:00
19;12342120;2.0.0;2017-09-06T00:00
20;12342121;2.1.0;2018-05-16T00:00
21;12342678;2.2.0;2018-09-06T00:00
22;12343890;2.3.0;2019-02-26T00:00
23;12344105;2.4.0;2019-07-12T00:00
24;12345732;2.5.0;2020-01-12T00:00
25;12346693;2.6.0;2020-04-24T00:00
26;12344106;3.0.0;2020-11-20T00:00
