Month-Year ; Number of fixed Tickets
JANUARY - 2012;0
FEBRUARY - 2012;0
MARCH - 2012;0
APRIL - 2012;1
MAY - 2012;0
JUNE - 2012;1
JULY - 2012;2
AUGUST - 2012;8
SEPTEMBER - 2012;10
OCTOBER - 2012;12
NOVEMBER - 2012;13
DECEMBER - 2012;7
JANUARY - 2013;8
FEBRUARY - 2013;18
MARCH - 2013;19
APRIL - 2013;21
MAY - 2013;36
JUNE - 2013;10
JULY - 2013;8
AUGUST - 2013;11
SEPTEMBER - 2013;17
OCTOBER - 2013;11
NOVEMBER - 2013;0
DECEMBER - 2013;0
JANUARY - 2014;0
FEBRUARY - 2014;0
MARCH - 2014;4
APRIL - 2014;0
MAY - 2014;6
JUNE - 2014;1
JULY - 2014;1
AUGUST - 2014;6
SEPTEMBER - 2014;2
OCTOBER - 2014;4
NOVEMBER - 2014;15
DECEMBER - 2014;24
JANUARY - 2015;37
FEBRUARY - 2015;9
MARCH - 2015;7
APRIL - 2015;6
MAY - 2015;15
JUNE - 2015;11
JULY - 2015;6
AUGUST - 2015;4
SEPTEMBER - 2015;1
OCTOBER - 2015;1
NOVEMBER - 2015;1
DECEMBER - 2015;0
JANUARY - 2016;1
FEBRUARY - 2016;1
MARCH - 2016;0
APRIL - 2016;3
MAY - 2016;5
JUNE - 2016;11
JULY - 2016;13
AUGUST - 2016;3
SEPTEMBER - 2016;23
OCTOBER - 2016;4
NOVEMBER - 2016;5
DECEMBER - 2016;8
JANUARY - 2017;5
FEBRUARY - 2017;4
MARCH - 2017;1
APRIL - 2017;1
MAY - 2017;7
JUNE - 2017;7
JULY - 2017;21
AUGUST - 2017;15
SEPTEMBER - 2017;3
OCTOBER - 2017;2
NOVEMBER - 2017;5
DECEMBER - 2017;5
JANUARY - 2018;8
FEBRUARY - 2018;13
MARCH - 2018;4
APRIL - 2018;1
MAY - 2018;4
JUNE - 2018;0
JULY - 2018;4
AUGUST - 2018;21
SEPTEMBER - 2018;4
OCTOBER - 2018;9
NOVEMBER - 2018;6
DECEMBER - 2018;16
JANUARY - 2019;13
FEBRUARY - 2019;8
MARCH - 2019;13
APRIL - 2019;5
MAY - 2019;7
JUNE - 2019;18
JULY - 2019;4
AUGUST - 2019;0
SEPTEMBER - 2019;3
OCTOBER - 2019;8
NOVEMBER - 2019;5
DECEMBER - 2019;6
JANUARY - 2020;5
FEBRUARY - 2020;2
MARCH - 2020;10
APRIL - 2020;15
MAY - 2020;9
JUNE - 2020;2
JULY - 2020;4
AUGUST - 2020;5
SEPTEMBER - 2020;4
OCTOBER - 2020;7
NOVEMBER - 2020;9
DECEMBER - 2020;2
JANUARY - 2021;8
FEBRUARY - 2021;4
MARCH - 2021;0
APRIL - 2021;0
MAY - 2021;0
JUNE - 2021;0
JULY - 2021;0
AUGUST - 2021;0
SEPTEMBER - 2021;0
OCTOBER - 2021;0
NOVEMBER - 2021;0
DECEMBER - 2021;0
